Timestamp,AWS_Status,AWS_Latency_ms,Azure_Status,Azure_Latency_ms,GCP_Status,GCP_Latency_ms
8/26/2026 22:19,200,114.79,200,112.28,200,100.25
8/26/2026 22:19,200,90.88,200,117.66,200,95.29
8/26/2026 22:19,200,107.71,200,141.32,200,84.99
8/26/2026 22:19,200,120.71,200,154.21,200,124.05
8/26/2026 22:20,200,113.55,200,129.42,200,95.86
8/26/2026 22:20,200,123.46,200,141.82,200,109.71
8/26/2026 22:20,200,111.58,200,118.14,200,120.09
8/26/2026 22:20,200,103.99,200,140.53,200,80.55
8/26/2026 22:20,200,112.13,200,138.67,200,122.68
8/26/2026 22:20,200,100.96,200,117.13,200,113.32
8/26/2026 22:20,200,105.82,200,119.77,200,103.25
8/26/2026 22:20,200,83.53,200,109.23,200,84.68
8/26/2026 22:20,200,86.17,200,144.13,200,101.55
8/26/2026 22:20,200,108.1,200,134.17,200,117.12
8/26/2026 22:20,200,105.9,200,139.46,200,82.52
8/26/2026 22:20,200,97.18,200,118.49,200,102.54
8/26/2026 22:20,200,108.92,200,133.18,200,81.1
8/26/2026 22:20,200,133.96,200,142.57,200,106.23
8/26/2026 22:20,200,720.28,200,190.64,200,1198.25
8/26/2026 22:20,503,-1,200,1272.54,200,501.73
8/26/2026 22:21,200,2893.13,200,1477.08,200,136.09
8/26/2026 22:21,200,3979.75,200,2116.88,200,1451.14
8/26/2026 22:21,200,945.1,200,754.89,200,4689.8
8/26/2026 22:21,200,1328.27,503,-1,200,2236.76
8/26/2026 22:21,200,556.09,200,289.62,200,769.9
8/26/2026 22:21,200,184.66,200,120.95,503,-1
8/26/2026 22:21,503,-1,200,125.56,200,91.34
8/26/2026 22:22,200,387.12,200,1145.16,200,94.68
8/26/2026 22:22,200,217.82,200,160.56,200,132.23
8/26/2026 22:22,200,105.54,200,118,200,79.24
8/26/2026 22:22,503,-1,200,113.25,200,81.26
8/26/2026 22:22,503,-1,200,127.5,200,85.9
8/26/2026 22:22,503,-1,200,137.24,200,80.34
8/26/2026 22:22,503,-1,200,141.74,200,99.62
8/26/2026 22:22,503,-1,200,132.11,200,80.99
8/26/2026 22:22,503,-1,200,138.15,200,103.87
8/26/2026 22:23,503,-1,200,149.78,200,106
8/26/2026 22:23,503,-1,200,135.22,200,105.89
8/26/2026 22:23,503,-1,200,124.45,200,88.8
8/26/2026 22:23,503,-1,200,130.09,200,121.17
8/26/2026 22:23,503,-1,200,151.34,200,110.1
8/26/2026 22:23,503,-1,200,144.52,200,106.2
8/26/2026 22:23,503,-1,200,134.53,200,115.4
8/26/2026 22:24,503,-1,200,167.66,200,109.57
8/26/2026 22:24,503,-1,200,131.34,200,123.02
8/26/2026 22:24,503,-1,200,132.54,200,104.75
8/26/2026 22:24,503,-1,200,137.47,200,105.66
8/26/2026 22:24,503,-1,200,136.74,200,112.08
8/26/2026 22:24,503,-1,200,140.17,200,95.58
8/26/2026 22:24,503,-1,200,119.42,200,102.87
8/26/2026 22:24,503,-1,200,131.75,200,81.95
8/26/2026 22:25,503,-1,200,134.31,200,138.07
8/26/2026 22:25,503,-1,200,140.27,200,120.63
8/26/2026 22:25,503,-1,200,138.86,200,98.29
8/26/2026 22:25,503,-1,200,119.4,200,122.39
8/26/2026 22:25,503,-1,200,136.74,200,118.94
8/26/2026 22:25,503,-1,200,162.78,200,114.44
8/26/2026 22:25,503,-1,200,135.5,200,92.64
8/26/2026 22:26,503,-1,200,117.19,200,100.27
8/26/2026 22:26,503,-1,200,150.16,200,131.9
8/26/2026 22:26,503,-1,200,137.83,200,107.19
8/26/2026 22:26,503,-1,200,140.36,200,106.33
8/26/2026 22:26,503,-1,200,140.93,200,111.67
8/26/2026 22:26,503,-1,200,135.4,200,98.92
8/26/2026 22:26,503,-1,200,148.79,200,102.41
8/26/2026 22:26,503,-1,200,121.78,200,114.96
8/26/2026 22:27,503,-1,200,146.55,200,84.06
8/26/2026 22:27,503,-1,200,148.88,200,109.2
8/26/2026 22:27,503,-1,200,154.46,200,120.58
8/26/2026 22:27,200,2334.52,200,118.57,200,121.45
8/26/2026 22:27,200,108.66,200,132.75,200,121.81
8/26/2026 22:27,200,110.65,200,131.19,200,102.91
8/26/2026 22:27,200,108.23,200,132.4,200,116.22
8/26/2026 22:27,200,105.99,200,132.81,200,124.07
8/26/2026 22:27,200,106.23,200,141.31,200,114.56
8/26/2026 22:27,200,132.96,200,151.16,200,107.99
8/26/2026 22:27,200,90.26,200,137.76,200,105.32
8/26/2026 22:29,200,110.77,200,131.48,200,113.99
8/26/2026 22:29,200,108.44,200,133.63,200,118.12
8/26/2026 22:29,200,111.99,200,133.09,200,102.94
8/26/2026 22:29,200,109.97,200,115.1,200,98.64
8/26/2026 22:29,200,89.27,200,118.5,200,99.69
8/26/2026 22:29,200,107.27,200,141.32,200,89.16
8/26/2026 22:29,200,85.45,200,124.36,200,78.45
8/26/2026 22:29,200,111.31,200,131.45,200,97
8/26/2026 22:29,200,107.89,200,137.4,200,89.14
8/26/2026 22:29,200,105.77,200,140.13,200,89.4
8/26/2026 22:29,200,95.02,200,114.4,200,98.71
8/26/2026 22:29,200,90.68,200,116.14,200,83.91
8/26/2026 22:29,200,96.69,200,117.33,200,81.1
8/26/2026 22:30,200,124.39,200,114.97,200,97.94
8/26/2026 22:30,200,89.04,200,116.92,200,93.41
8/26/2026 22:30,200,116.74,200,121.68,200,90.46
8/26/2026 22:30,200,194.64,200,204.59,200,376.92
8/26/2026 22:30,503,-1,200,5372.26,200,84.49
8/26/2026 22:30,200,2436.27,200,1644.02,503,-1
8/26/2026 22:30,200,876.01,200,1040.58,200,1183.18
8/26/2026 22:30,200,1420.23,200,1525.22,200,409.59
8/26/2026 22:30,200,98.84,200,123.23,200,79.87
